spend_id,campaign_id,spend_date,channel,impressions,clicks,spend_amount,conversions,revenue_attributed
7001,101,2024-01-01,Instagram,50000,2500,1612.90,8,679.92
7002,101,2024-01-02,Instagram,48000,2300,1580.65,7,524.93
7003,101,2024-01-03,Instagram,52000,2700,1645.16,9,809.91
7004,102,2024-01-01,Google,25000,1800,1290.32,12,959.88
7005,102,2024-01-02,Google,24000,1750,1258.06,11,879.89
7006,103,2024-01-01,Email,100000,14000,32.26,25,1249.75
7007,104,2024-01-01,Facebook,35000,1200,483.87,4,319.96
7008,105,2024-01-15,TikTok,80000,5000,2419.35,15,1424.85
7009,107,2024-01-01,Google,15000,3000,548.39,18,1439.82
7010,107,2024-01-02,Google,14500,2900,532.26,17,1359.83
7011,101,2024-01-04,Instagram,49000,2400,1596.77,8,639.92
7012,101,2024-01-05,Instagram,51000,2600,1629.03,9,719.91
7013,102,2024-01-03,Google,26000,1850,1322.58,13,1039.87
7014,102,2024-01-04,Google,25500,1825,1306.45,12,999.88
7015,103,2024-01-02,Email,98000,13800,31.61,24,1199.76
7016,104,2024-01-02,Facebook,36000,1250,500.00,5,399.95
7017,111,2024-01-08,Instagram,47000,2200,1532.26,6,479.94
7018,111,2024-01-09,Instagram,45000,2100,1467.74,5,399.95
7019,112,2024-01-05,Google,20000,1600,1032.26,10,799.90
7020,113,2024-01-10,Email,95000,13500,29.03,23,1149.77
7021,114,2024-01-12,Facebook,33000,1150,451.61,3,239.97
7022,115,2024-01-18,TikTok,85000,5200,2580.65,16,1519.84
7023,117,2024-01-03,Google,16000,3100,580.65,19,1519.81
7024,117,2024-01-04,Google,15500,3050,564.52,18,1439.82
7025,121,2024-01-15,Instagram,53000,2800,1709.68,10,899.90
7026,121,2024-01-16,Instagram,54000,2850,1741.94,11,989.89
7027,122,2024-01-06,Google,22000,1700,1129.03,11,879.89
7028,123,2024-01-12,Email,92000,13200,27.42,22,1099.78
7029,127,2024-01-05,Google,17000,3200,612.90,20,1599.80
7030,127,2024-01-06,Google,16500,3150,596.77,19,1519.81